,REGION,YEAR,WEEK,TOTAL CASES
257,South Dakota,2010,44,0.0
258,Tennessee,2010,44,0.0
259,Texas,2010,44,11.0
260,Utah,2010,44,24.0
261,Vermont,2010,44,0.0
262,Virginia,2010,44,0.0
263,Washington,2010,44,2.0
264,West Virginia,2010,44,0.0
265,Wisconsin,2010,44,2.0
266,Wyoming,2010,44,0.0
267,Puerto Rico,2010,44,0.0
268,Virgin Islands,2010,44,0.0
269,New York City,2010,44,0.0
270,Alabama,2010,45,13.0
271,Alaska,2010,45,2.0
272,Arizona,2010,45,3.0
273,Arkansas,2010,45,2.0
274,California,2010,45,7.0
275,Colorado,2010,45,5.0
276,Connecticut,2010,45,1.0
277,Delaware,2010,45,1.0
278,District of Columbia,2010,45,0.0
279,Florida,2010,45,0.0
280,Georgia,2010,45,67.0
281,Hawaii,2010,45,3.0
282,Idaho,2010,45,0.0
283,Illinois,2010,45,1.0
284,Indiana,2010,45,0.0
285,Iowa,2010,45,0.0
286,Kansas,2010,45,0.0
287,Kentucky,2010,45,4.0
288,Louisiana,2010,45,6.0
289,Maine,2010,45,0.0
290,Maryland,2010,45,0.0
291,Massachusetts,2010,45,0.0
292,Michigan,2010,45,0.0
293,Minnesota,2010,45,5.0
294,Mississippi,2010,45,3.0
295,Missouri,2010,45,0.0
296,Montana,2010,45,0.0
297,Nebraska,2010,45,0.0
298,Nevada,2010,45,0.0
299,New Hampshire,2010,45,0.0
300,New Jersey,2010,45,0.0
301,New Mexico,2010,45,0.0
302,New York,2010,45,14.0
303,North Carolina,2010,45,1.0
304,North Dakota,2010,45,0.0
305,Ohio,2010,45,3.0
306,Oklahoma,2010,45,0.0
307,Oregon,2010,45,0.0
308,Pennsylvania,2010,45,5.0
309,Rhode Island,2010,45,0.0
310,South Carolina,2010,45,4.0
311,South Dakota,2010,45,0.0
312,Tennessee,2010,45,0.0
313,Texas,2010,45,9.0
314,Utah,2010,45,22.0
315,Vermont,2010,45,0.0
316,Virginia,2010,45,0.0
317,Washington,2010,45,1.0
318,West Virginia,2010,45,3.0
